farm_id,crop_type,soil_moisture_%,soil_pH,temperature_C,water_mm,humidity_%,sunlight_hours,sowing_date,harvest_date,total_days,yield_kg_per_hectare,NDVI_index,crop_disease_status
FARM0020,Rice,16.99,7.34,21.99,255.13,83.57,5.34,1/25/2024,5/11/2024,107,3404.58,0.62,None
FARM0021,Maize,16.25,7.43,20.31,77.1,61.73,8.37,3/4/2024,6/26/2024,114,5598.02,0.3,Mild
FARM0022,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,2/11/2024,6/5/2024,115,4788.83,0.86,Mild
FARM0023,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,3/7/2024,7/7/2024,122,3892.74,0.7,Moderate
FARM0024,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,2/20/2024,7/13/2024,144,5073.96,0.42,Severe
FARM0025,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,3/17/2024,7/14/2024,119,2200.87,0.38,Severe
FARM0026,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,2/15/2024,5/31/2024,106,5007.11,0.59,Mild
FARM0027,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,3/7/2024,6/9/2024,94,3659.47,0.42,Severe
FARM0028,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,2/18/2024,7/4/2024,137,4938.54,0.59,Severe
FARM0029,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,1/28/2024,5/26/2024,119,2726.92,0.5,Severe
FARM0030,Cotton,18.83,5.66,15.39,184.85,90,6.1,1/8/2024,4/19/2024,102,5356.92,0.7,Mild
FARM0031,Maize,36.84,5.84,27.14,236.98,45.73,8.92,2/19/2024,7/1/2024,133,5632.1,0.35,Mild
FARM0032,Maize,39.76,6.7,17.42,295.96,79.13,6.08,3/21/2024,7/10/2024,111,2050.61,0.88,Severe
FARM0033,Cotton,16.16,6.54,28.01,203.98,85.98,8.65,3/9/2024,6/27/2024,110,5406.85,0.57,Severe
FARM0034,Soybean,33.39,6.17,24.89,131.25,64.38,6.13,3/23/2024,8/16/2024,146,3105.07,0.44,Severe
FARM0035,Soybean,36.54,6.88,27.92,172.71,79.65,4.56,2/22/2024,6/28/2024,127,3476.08,0.5,Severe
FARM0036,Maize,18.8,5.74,18.85,79.89,66.79,8.57,2/9/2024,6/24/2024,136,4358.35,0.8,Moderate
FARM0037,Maize,16.28,5.53,25.68,118.58,88.71,7.32,2/4/2024,6/28/2024,145,2049.06,0.41,None
FARM0038,Cotton,13.99,5.63,24.83,194.26,74.32,4.91,1/18/2024,6/4/2024,138,3664.7,0.85,Moderate
FARM0039,Cotton,20.69,6.74,27.19,235.02,87.38,5.25,1/8/2024,4/18/2024,101,4207.97,0.66,Moderate
FARM0040,Rice,20.08,6.07,32.19,67.79,51.67,5.59,1/21/2024,4/29/2024,99,5633.65,0.48,Moderate
FARM0041,Wheat,26.4,6.11,23.05,118.06,67,6.63,3/9/2024,6/8/2024,91,2365.31,0.87,Moderate
FARM0042,Wheat,36.71,5.85,25.38,160.56,53.91,9.98,1/16/2024,5/7/2024,112,3633.39,0.5,Severe
FARM0043,Cotton,38.47,6.6,24.1,128.63,56.16,9.82,1/22/2024,6/15/2024,145,4170.37,0.67,Severe
FARM0044,Wheat,17.12,6.6,33.55,159.53,74.91,4.73,3/1/2024,7/4/2024,125,3631.96,0.58,None
FARM0045,Cotton,42.64,6.08,29.11,153.87,64.12,6.83,1/20/2024,5/21/2024,122,4985.17,0.77,Severe
FARM0046,Soybean,19.35,5.51,29.52,259.37,69,7.96,2/11/2024,6/15/2024,125,5051.49,0.41,Mild
FARM0047,Cotton,18.17,7.05,15.87,236.18,75.26,8.87,3/5/2024,7/4/2024,121,5859.3,0.82,Severe
FARM0048,Soybean,41.87,5.53,17.88,267.73,88.5,4.45,2/21/2024,5/26/2024,95,5407.06,0.49,Severe
FARM0049,Wheat,31.61,5.97,28.69,121.84,51.37,4.54,1/15/2024,4/24/2024,100,4776,0.48,Moderate
FARM0050,Rice,18.55,6.32,28.64,95.01,48.75,7.66,2/19/2024,5/28/2024,99,2928.75,0.31,Severe
FARM0051,Soybean,15.53,6.38,21.91,196.89,71.95,6.55,1/13/2024,6/5/2024,144,3932.83,0.48,Moderate
FARM0052,Cotton,19.61,6.63,28.72,236.17,42.45,7.64,1/20/2024,6/9/2024,141,3409.28,0.73,Mild
FARM0053,Wheat,20.81,6.38,26.59,233.09,44.51,5.77,3/12/2024,7/13/2024,123,4007.18,0.79,Severe
FARM0054,Maize,38.15,6.44,16.51,238.54,51.28,8.06,2/1/2024,5/17/2024,106,4146.29,0.46,Severe
FARM0055,Wheat,33.62,6.44,27.39,285.79,56.4,7.66,3/10/2024,7/19/2024,131,3633.18,0.9,None
FARM0056,Rice,41.05,5.77,24.07,217.62,77.16,9.68,1/14/2024,5/24/2024,131,2396.09,0.47,Moderate
FARM0057,Cotton,25.56,5.97,22.25,295.23,58.37,9.41,1/4/2024,6/2/2024,150,5392.13,0.68,None
FARM0058,Maize,18.52,5.75,26.29,67.15,78.26,5.24,1/26/2024,6/21/2024,147,4383.93,0.38,Moderate
FARM0059,Wheat,33.14,5.55,15.3,247.5,51.9,5.94,3/14/2024,7/15/2024,123,2454.6,0.61,None
FARM0060,Soybean,17.75,6.73,29.54,277.19,72.95,5.81,2/14/2024,6/26/2024,133,2431.85,0.66,None
FARM0061,Maize,31.85,6.67,29.24,145.23,69.87,5.77,1/28/2024,6/7/2024,131,4603.67,0.55,Severe
FARM0062,Cotton,35.54,6.13,21.25,113.72,87.68,8.12,1/3/2024,4/29/2024,117,2386.26,0.34,Moderate
FARM0063,Cotton,22.38,6.83,30.01,267.02,76.05,9.81,3/7/2024,6/14/2024,99,4626.95,0.63,None
FARM0064,Soybean,17.92,6.36,26.22,241.86,71.09,8.05,3/9/2024,6/8/2024,91,2721.66,0.51,Mild
FARM0065,Soybean,33.01,5.64,29.82,292.95,44.59,7.18,1/12/2024,4/30/2024,109,4886.38,0.83,Mild
FARM0066,Soybean,11.74,5.66,23.86,156,70.35,6.49,2/4/2024,5/22/2024,108,4712.87,0.33,Severe
FARM0067,Wheat,10.27,6.1,19.22,84.31,52.78,5.97,1/5/2024,4/28/2024,114,4130.33,0.78,None
FARM0068,Wheat,25.27,6.42,16.56,128.27,61.46,6.43,1/11/2024,4/20/2024,100,5205.29,0.52,Severe
FARM0069,Rice,25.25,6.3,16.57,267.63,77.29,5.33,1/17/2024,5/18/2024,122,2775.61,0.79,Mild
FARM0070,Wheat,15.13,5.89,27.05,240.05,72.78,5.06,3/15/2024,7/26/2024,133,5696.62,0.39,None
FARM0071,Cotton,32.1,7.09,26.83,137.99,43.71,6.77,2/3/2024,6/13/2024,131,5457,0.58,None
FARM0072,Soybean,32.81,6.14,24.51,87.72,43.09,4.62,3/6/2024,6/6/2024,92,2990.97,0.67,Moderate
FARM0073,Maize,23.56,7.05,28.58,63.09,71.54,6.01,2/10/2024,5/26/2024,106,4894.93,0.39,None
FARM0074,Rice,42.09,6.12,28.12,215.53,46.45,8.25,3/26/2024,7/15/2024,111,5252.74,0.9,None
FARM0075,Soybean,22.66,6.23,18.61,103.55,87.38,6.92,2/28/2024,7/17/2024,140,2404.56,0.32,Moderate
FARM0076,Rice,30.9,5.81,18.62,223.21,71.24,9.42,3/24/2024,7/7/2024,105,5878.35,0.57,Mild
FARM0077,Cotton,41.64,5.89,28.57,192.6,62.03,8.62,1/27/2024,5/8/2024,102,5205.04,0.59,Moderate
FARM0078,Wheat,34.9,6.53,17.49,70.97,48.02,6.7,1/27/2024,5/24/2024,118,5538.52,0.52,Severe
FARM0079,Maize,17.86,6.14,16.98,228.68,56.76,4.88,2/23/2024,7/15/2024,143,2555.17,0.35,Moderate
FARM0080,Rice,29.21,6.95,25.56,77.8,54.41,5.81,3/15/2024,6/17/2024,94,2443.43,0.61,Mild
FARM0081,Maize,25.02,6.73,19.81,154.14,73.22,4.51,3/17/2024,8/4/2024,140,5953.33,0.68,Moderate
FARM0082,Wheat,22.5,5.64,19.82,214.28,45.18,7.49,3/11/2024,7/31/2024,142,4571.18,0.41,Mild
FARM0083,Cotton,11.29,5.9,30.82,271.45,55.78,5.86,1/25/2024,6/4/2024,131,2764.41,0.69,Moderate
FARM0084,Maize,25.29,6.3,23.79,289.12,56.95,5.12,3/9/2024,7/28/2024,141,2330.45,0.79,Moderate
FARM0085,Wheat,12.8,6.82,21.13,200.66,61.31,8.14,2/20/2024,6/16/2024,117,3098.22,0.68,Moderate
FARM0086,Rice,43.35,5.79,27.15,245.33,41.74,4.4,3/2/2024,7/8/2024,128,2613.75,0.76,Mild
FARM0087,Maize,23.93,6.8,19.99,78.36,76.78,6.99,2/23/2024,6/20/2024,118,2858.28,0.59,None
FARM0088,Wheat,25.82,7.3,23.9,71.95,74.1,9.07,1/18/2024,5/21/2024,124,3161.45,0.86,Mild
FARM0089,Soybean,17.85,7.47,30.84,109.18,64.7,6.17,3/5/2024,7/12/2024,129,5536.99,0.73,Severe
FARM0090,Soybean,12.58,7.44,27.85,162.49,74.01,6.07,1/27/2024,5/3/2024,97,4072.41,0.73,Moderate
FARM0091,Maize,39.61,6,27.7,187.71,46.26,5.82,3/19/2024,6/26/2024,99,2684.8,0.81,None
FARM0092,Wheat,11.59,6.78,26.54,212.78,78.35,6.5,3/10/2024,7/19/2024,131,5826.6,0.54,Severe
FARM0093,Wheat,15.53,6.33,24.29,135.05,47.18,9.17,2/13/2024,5/21/2024,98,5042.66,0.58,Moderate
FARM0094,Rice,14.93,5.6,33.91,266.04,60.91,9.78,3/11/2024,6/21/2024,102,5052.49,0.83,Severe
FARM0095,Wheat,43.08,6.51,34.33,103.79,57.64,4.3,3/22/2024,7/20/2024,120,3142.99,0.83,Moderate
FARM0096,Maize,11.58,5.6,26.24,140.63,54.43,6.32,3/22/2024,7/29/2024,129,2475.24,0.5,Moderate
FARM0097,Rice,31.09,6.3,15.81,59.73,75.68,8.82,3/5/2024,6/23/2024,110,5725.47,0.74,Moderate
FARM0098,Maize,27.76,6.52,24.8,190.73,63.74,4.1,2/19/2024,6/7/2024,109,5187.02,0.66,Moderate
FARM0099,Soybean,17.96,5.6,24.61,181.06,76.06,8.65,1/2/2024,5/7/2024,126,5792.82,0.55,Severe
FARM0100,Cotton,27.56,6.72,24.43,262.09,76.37,8.23,3/16/2024,7/17/2024,123,3507.3,0.51,Moderate
FARM0101,Soybean,26.95,7.41,20.58,124.62,87.07,9.89,3/16/2024,7/4/2024,110,3919.21,0.46,None
FARM0102,Soybean,23.29,7.46,31.37,288.65,80.23,5.74,2/21/2024,6/6/2024,106,4989.35,0.86,Moderate
FARM0103,Wheat,31.55,6.67,19.85,217.46,66.55,7.83,3/16/2024,6/20/2024,96,4724.77,0.86,Severe
FARM0104,Cotton,32.77,7.01,20.74,121.35,42.96,8.61,1/6/2024,5/1/2024,116,5528.98,0.8,Severe
FARM0105,Maize,40.69,5.52,26.36,76.83,89.15,5.71,2/9/2024,5/21/2024,102,5235.26,0.45,Mild
FARM0106,Maize,37.68,6.64,30.15,93.87,82.81,9.38,2/22/2024,5/28/2024,96,2739.12,0.3,Severe
FARM0107,Cotton,36.38,7.41,21.04,230.72,40.57,7.92,2/10/2024,5/20/2024,100,3621.67,0.76,None
FARM0108,Maize,31.51,5.94,17.67,88.3,77.39,7.63,2/25/2024,6/28/2024,124,5207.98,0.75,None
FARM0109,Cotton,28.49,6.22,33.34,78.05,81.44,9.42,1/11/2024,6/3/2024,144,4081.37,0.59,Severe
FARM0110,Cotton,14.62,6.33,26.28,189.7,73.64,5.85,1/24/2024,5/6/2024,103,4313.25,0.62,None
FARM0111,Cotton,11.11,6.32,30.38,241.46,88.92,7.88,2/15/2024,7/9/2024,145,5668.46,0.7,Mild
FARM0112,Wheat,16.25,6.57,25.58,231.96,51.13,4.02,3/18/2024,7/13/2024,117,4127.73,0.39,Mild
FARM0113,Wheat,38.33,6.34,30.32,270.94,40.78,5.24,3/22/2024,8/4/2024,135,5488.85,0.44,Mild
FARM0114,Rice,27.64,6.08,31.32,232.88,55.95,7.59,1/22/2024,5/24/2024,123,2884.17,0.66,Mild
FARM0115,Soybean,27.35,7.44,33.83,217.84,79.29,5.91,2/6/2024,6/23/2024,138,4151.71,0.72,Severe
FARM0116,Soybean,24.44,6.33,25.6,147.1,52.75,5.98,1/18/2024,6/2/2024,136,5317.63,0.66,None
FARM0117,Soybean,35.35,6.62,24.59,267.37,56.65,9.74,3/4/2024,7/19/2024,137,5998.29,0.72,Severe
FARM0118,Soybean,21.26,6.07,24.33,212.18,55.42,6.16,3/16/2024,8/1/2024,138,5358.92,0.64,Mild
FARM0119,Wheat,19.13,7.37,26.58,154.39,47.62,5.98,2/18/2024,6/28/2024,131,5773.86,0.88,Severe
FARM0120,Rice,35.65,6.2,17.8,186.64,49.2,9.34,1/27/2024,6/7/2024,132,2194.06,0.44,Mild
FARM0121,Rice,27.7,6.25,27.36,216.69,70.83,6.9,3/14/2024,6/12/2024,90,2066.9,0.6,Severe
FARM0122,Wheat,42.13,6.55,19.82,204.95,52.62,6.13,2/15/2024,6/20/2024,126,2972.83,0.81,None
FARM0123,Cotton,23.27,6.61,16.12,52.36,48.57,7,3/28/2024,7/2/2024,96,5579.16,0.72,Severe
FARM0124,Wheat,42.35,6.87,20.61,185.76,72.91,5.08,3/5/2024,7/21/2024,138,5282.76,0.64,Severe
FARM0125,Maize,23.43,6.98,30.81,222.33,43.92,8.47,1/27/2024,4/30/2024,94,3362.37,0.76,None
FARM0126,Cotton,27.17,6.21,33.82,157.96,73.98,7.96,1/23/2024,4/26/2024,94,2328.15,0.39,Severe
FARM0127,Maize,13.73,5.51,21.17,139.98,53.49,4.8,3/17/2024,7/11/2024,116,2413.17,0.66,Moderate
FARM0128,Wheat,20.21,6.28,16.69,275.28,85.26,9.87,1/9/2024,4/27/2024,109,3073.63,0.55,Severe
FARM0129,Maize,18.81,5.99,27.5,198.45,49.78,4.64,2/27/2024,7/5/2024,129,3519.56,0.79,Mild
FARM0130,Maize,31.11,6.89,24.58,94.41,59.91,5.91,2/13/2024,5/30/2024,107,5265.98,0.42,Mild
FARM0131,Wheat,43.36,6.42,29.17,159.61,54.57,8.16,3/10/2024,6/23/2024,105,3010.73,0.34,Severe
FARM0132,Cotton,28.7,7.35,32.39,154.58,41.84,9.81,3/22/2024,7/12/2024,112,2665.35,0.71,Severe
FARM0133,Cotton,13.71,5.7,19.44,236.71,67.9,8.13,2/25/2024,7/7/2024,133,4354.36,0.59,Moderate
FARM0134,Wheat,14.06,7.38,17.83,127.97,62.77,5.24,2/24/2024,7/7/2024,134,3809.79,0.37,Moderate
FARM0135,Rice,42.55,6.98,25.32,187.98,56.55,6.56,3/6/2024,6/15/2024,101,4561.92,0.83,Severe
FARM0136,Cotton,23.61,6.91,19.12,238.08,80.44,4.38,2/7/2024,6/5/2024,119,2455.82,0.68,Severe
FARM0137,Cotton,30.55,6.2,31.91,204.34,80.69,8.24,3/5/2024,6/23/2024,110,2471.45,0.38,Severe
FARM0138,Soybean,14.83,6.27,18.72,208.88,74.67,7.87,2/5/2024,5/16/2024,101,3258.32,0.87,Severe
FARM0139,Rice,38.53,7.43,25.11,173.74,74.23,6.49,3/1/2024,7/19/2024,140,5044.23,0.47,Severe
FARM0140,Cotton,29.24,5.73,17.28,243.78,81.16,6.2,1/14/2024,4/19/2024,96,4943.95,0.9,Severe
FARM0141,Maize,40.18,5.67,32.31,79.35,80.59,5.26,2/6/2024,6/14/2024,129,2556.94,0.64,Moderate
FARM0142,Soybean,15.89,7.46,20.85,193.18,87.62,7.09,2/2/2024,5/19/2024,107,5468.19,0.39,Moderate
FARM0143,Cotton,27.13,6.65,20.37,153.56,62.6,7.8,2/23/2024,7/21/2024,149,5509.27,0.3,None
FARM0144,Maize,39.75,7.09,22.95,292.03,81.24,6.97,3/5/2024,7/9/2024,126,5409.69,0.33,None
FARM0145,Wheat,14.35,7.22,23.83,50.17,87.9,5.21,2/3/2024,6/13/2024,131,3441.74,0.4,Severe
FARM0146,Rice,25.02,5.68,16.9,103.36,43.9,7.56,2/27/2024,6/3/2024,97,5952.62,0.44,None
FARM0147,Wheat,20.97,7.26,17.74,243.37,77.66,4.8,1/20/2024,5/30/2024,131,2656.47,0.39,Severe
FARM0148,Cotton,40.1,5.67,17.01,238.11,69.48,6.3,1/9/2024,5/19/2024,131,2336.99,0.81,Moderate
FARM0149,Soybean,31.24,5.88,22.84,211.54,79.19,8.76,1/16/2024,5/25/2024,130,4375.72,0.38,Severe
FARM0150,Soybean,33.9,7.03,34.09,242.59,40.83,4.41,1/26/2024,5/20/2024,115,4026.44,0.55,Severe
FARM0151,Soybean,28.82,5.81,16.67,69.76,86.05,9.85,3/21/2024,8/6/2024,138,5338.11,0.87,Mild
FARM0152,Rice,13.02,6.37,24.07,202.21,55.46,8.45,1/23/2024,4/22/2024,90,2655.33,0.73,Mild
FARM0153,Rice,36.24,7.25,29.66,79.51,84.99,6.01,2/23/2024,6/28/2024,126,4510.13,0.6,Mild
FARM0154,Rice,18.93,5.71,26.48,230.69,51.42,7.05,2/12/2024,6/5/2024,114,5680.91,0.63,Severe
FARM0155,Maize,18.69,7.33,21.4,256.5,68.58,4.72,3/2/2024,6/25/2024,115,2275.71,0.49,None
FARM0156,Cotton,10.28,5.9,26.28,125.98,71.14,6.78,3/25/2024,8/12/2024,140,2980.51,0.62,None
FARM0157,Wheat,36.56,6.25,29.76,126.88,50.26,9.9,1/23/2024,5/9/2024,107,2372.11,0.72,Moderate
FARM0158,Wheat,30.33,6.51,27.74,148.59,69.59,4.37,2/26/2024,6/20/2024,115,4802.9,0.44,Mild
FARM0159,Soybean,13.81,5.71,23.99,128.51,46.04,6.15,2/28/2024,6/4/2024,97,2361.68,0.66,Mild
FARM0160,Rice,13.19,6,22.11,178.36,73.86,5.56,2/18/2024,7/4/2024,137,4200.48,0.38,None
FARM0161,Rice,14.58,7.15,22.44,207.57,72.23,7.49,1/7/2024,6/2/2024,147,4583.95,0.79,None
FARM0162,Cotton,11.77,7.35,23.66,231.11,64.81,6.3,1/9/2024,4/25/2024,107,3784.05,0.45,Moderate
FARM0163,Cotton,40.9,6.46,16.75,145.75,60.96,7.86,3/26/2024,6/25/2024,91,5957.61,0.59,Moderate
FARM0164,Maize,16.29,6.14,19.38,273.94,78.93,4.35,3/8/2024,6/16/2024,100,2400.54,0.77,None
FARM0165,Soybean,39.63,7.09,22.1,259.81,82.26,5.06,3/1/2024,7/14/2024,135,4802.24,0.89,Severe
FARM0166,Maize,16.14,5.58,16.12,200.42,41,6.87,1/11/2024,5/25/2024,135,2709.84,0.72,Mild
FARM0167,Soybean,40.12,7.42,22.47,285.48,59.78,4.61,1/24/2024,6/22/2024,150,3747.47,0.88,Moderate
FARM0168,Soybean,38.51,6.26,29.68,123.63,48.89,4.01,3/11/2024,8/6/2024,148,5235.23,0.6,Moderate
FARM0169,Rice,22.14,6.14,27.72,290.77,81.08,8.02,1/8/2024,5/21/2024,134,2271.18,0.33,Severe
FARM0170,Rice,40.96,6.49,22.57,186.51,45.07,6.88,1/10/2024,4/10/2024,91,3274.87,0.53,None
FARM0171,Wheat,21.83,7.47,32.86,226.13,61.57,7.92,2/7/2024,5/19/2024,102,3637.12,0.46,Moderate
FARM0172,Rice,13.36,6.29,25.99,172.74,42.73,4.02,3/20/2024,7/18/2024,120,2798.7,0.89,Severe
FARM0173,Maize,37.47,6.44,32.9,116.25,72.09,6.33,2/2/2024,5/18/2024,106,3758.96,0.34,None
FARM0174,Maize,38.29,6.33,30.13,106.88,43.05,6.32,2/19/2024,7/14/2024,146,2942.57,0.73,Mild
FARM0175,Cotton,16.05,7.47,34.44,252.12,46.31,6.54,3/5/2024,7/26/2024,143,4380.19,0.34,Severe
FARM0176,Cotton,29.32,7.21,25.39,279.29,40.62,8.2,1/19/2024,5/25/2024,127,4330.71,0.36,Moderate
FARM0177,Maize,40.73,6.03,28.1,193.01,63.65,5.03,3/23/2024,7/16/2024,115,2155.13,0.33,Severe
FARM0178,Maize,10.71,7.13,21.06,120.09,64.58,8.18,3/15/2024,8/1/2024,139,5303.29,0.35,Severe
FARM0179,Cotton,35.93,7.02,32.34,255.25,65.76,4.95,1/25/2024,6/17/2024,144,4097.14,0.42,None
FARM0180,Wheat,25.98,7.34,29.09,118.49,81.18,7.03,2/16/2024,6/23/2024,128,3784.41,0.4,Moderate
FARM0181,Maize,10.96,5.6,32.08,244.96,50.72,5.33,3/14/2024,7/14/2024,122,2080.21,0.58,Mild
FARM0182,Soybean,38.03,5.95,27.17,285.75,75.64,8.26,2/15/2024,5/31/2024,106,2872.84,0.54,None
FARM0183,Soybean,44.98,7.43,31.79,190.36,69.69,5.7,2/21/2024,6/10/2024,110,5445.97,0.69,Mild
FARM0184,Soybean,36.79,7.3,31.11,250.59,70,7.96,2/10/2024,5/26/2024,106,5627.65,0.72,Mild
FARM0185,Rice,34.02,6.78,24.51,285.17,57.92,5.8,1/10/2024,4/15/2024,96,3883.12,0.76,Mild
FARM0186,Wheat,17.78,5.95,32.43,155.12,84.34,6.23,2/2/2024,6/26/2024,145,4537.59,0.37,Severe
FARM0187,Maize,24.46,7.24,18.02,298.09,57.13,9.92,3/6/2024,7/23/2024,139,2323.25,0.68,None
FARM0188,Maize,17.33,7.05,26.53,89.61,79.26,8.68,2/13/2024,6/9/2024,117,5861.31,0.74,None
FARM0189,Soybean,16.67,6.85,27.53,112.21,74.68,6.07,3/10/2024,6/18/2024,100,2261.15,0.74,Moderate
FARM0190,Rice,22,7.3,22.19,97.11,87.4,9.51,3/5/2024,6/16/2024,103,4936.31,0.73,None
FARM0191,Maize,36.99,6.75,26.88,61.99,45.41,9.02,2/13/2024,5/20/2024,97,4189.13,0.71,None
FARM0192,Cotton,33.16,6.82,20.4,201.41,46.86,8.98,1/10/2024,4/16/2024,97,5139.04,0.46,Mild
FARM0193,Cotton,20.34,5.58,24.93,101.92,86.66,5.98,1/27/2024,6/1/2024,126,4676.09,0.35,None
FARM0194,Rice,25.99,7.45,20.28,62.52,80.66,9.24,2/14/2024,6/30/2024,137,2463.6,0.69,Moderate
FARM0195,Cotton,43.43,6.04,29.66,143.16,57.14,4.68,2/23/2024,7/16/2024,144,3912.98,0.37,None
FARM0196,Wheat,24.56,6.68,31.05,219.6,49.06,6.28,3/27/2024,8/10/2024,136,5893.78,0.83,Severe
FARM0197,Wheat,19.16,6.13,29.09,219.48,78.38,7.46,3/17/2024,7/29/2024,134,4802.32,0.59,Severe
FARM0198,Soybean,41.22,6.73,15.23,283.59,65.28,6.82,2/11/2024,5/26/2024,105,3323.58,0.69,Severe
FARM0199,Wheat,26.07,7.1,23.96,264.15,62.35,4.71,1/13/2024,5/8/2024,116,2143.33,0.66,Moderate
FARM0200,Soybean,17.24,6.84,34.01,140.84,42.71,5.34,3/20/2024,7/18/2024,120,4866.63,0.76,Mild
FARM0201,Maize,22.43,6.77,31,186.92,58.69,4.64,3/24/2024,8/7/2024,136,3636.84,0.86,Severe
FARM0202,Cotton,38.86,5.88,21.76,239.29,42.33,7.8,3/17/2024,6/23/2024,98,5855.42,0.86,Severe
FARM0203,Rice,34.21,5.85,31.3,75.89,72.88,7.64,2/20/2024,7/17/2024,148,4770.06,0.88,Severe
FARM0204,Rice,24.45,6.9,29.97,124.73,75.07,9.16,3/10/2024,7/21/2024,133,3381.17,0.87,Moderate
FARM0205,Maize,29.68,6.67,33.85,227.53,73.71,9.36,3/4/2024,6/3/2024,91,3523.48,0.75,Mild
FARM0206,Maize,15.12,5.62,30.69,101,67.06,6.15,3/24/2024,7/27/2024,125,5459.37,0.61,Moderate
FARM0207,Cotton,23.56,7.41,34.52,128.16,67.61,4.08,2/27/2024,6/10/2024,104,5645.95,0.65,Mild
FARM0208,Maize,25.71,7.47,16.49,290.62,76.75,4.72,2/5/2024,5/15/2024,100,4335.94,0.86,None
FARM0209,Maize,30.89,7.05,27.51,260.78,55.06,8.74,2/17/2024,5/31/2024,104,5827.95,0.55,Severe
FARM0210,Maize,17.74,5.93,21.64,140.2,50.92,8.52,3/1/2024,6/6/2024,97,4675.75,0.85,Mild
FARM0211,Maize,23.35,7.09,17.27,114.15,76.2,4.15,2/16/2024,5/18/2024,92,3185.74,0.87,Mild
FARM0212,Soybean,10.26,5.63,28.41,243.4,83.25,6.55,3/24/2024,8/10/2024,139,3740.95,0.58,Moderate
FARM0213,Wheat,12.56,5.86,20.04,67.61,81.08,9.47,2/14/2024,6/3/2024,110,2067.56,0.73,None
FARM0214,Wheat,34.53,5.65,33.56,76.53,79.34,5.81,2/13/2024,6/7/2024,115,5288.49,0.38,Severe
FARM0215,Maize,43.6,5.79,28.55,278.54,79.75,8.38,3/5/2024,6/10/2024,97,2167.09,0.87,Moderate
FARM0216,Maize,17.41,7.31,32.03,85.61,49.2,7.7,3/26/2024,7/30/2024,126,5409,0.63,None
FARM0217,Wheat,18.77,5.89,26.61,287.88,57.86,8.03,1/7/2024,4/26/2024,110,3943.44,0.65,Moderate
FARM0218,Cotton,15.9,6.13,30.71,228.05,72.04,5.66,2/16/2024,6/14/2024,119,3781.43,0.41,None
